x,y
38,0.136974621
39,0.138811597
40,0.144428974
41,0.14845437
42,0.157833795
43,0.173766902
44,0.175503008
45,0.184692614
46,0.191880404
47,0.194852584
48,0.184002966
49,0.184945587
50,0.180197925
51,0.164972469
52,0.153481113
53,0.132606087
54,0.149957172
55,0.140340479
56,0.132866789
57,0.151635646
58,0.157152349
59,0.204691896
60,0.20043413
61,0.178137033
62,0.138206766
63,0.110858356
64,0.062395876
65,0.019090519
66,0.112429144
67,0.097105048
68,0.075000902
69,0.055078429
70,0.041236495
71,0.040911115
72,0.039118793
73,0.038562592
74,0.03553466
75,0.023254568
76,0.00901555
77,0.02526139
78,0.072161203
79,0.155967605
80,0.249730813
81,0.305260757
82,0.310803664
83,0.29713721
84,0.298227757
85,0.31119437
86,0.278419051
88,0.312842964
89,0.358554085
90,0.344283541
91,0.290339716
92,0.278509659
93,0.243113042
94,0.220090128
95,0.185779826
96,0.163408041
97,0.138504136
98,0.092824233
99,0.061117079
100,0.034241617
101,0.019490537
102,0.028241046
103,0.006716578
104,0.013906201
105,0.013013388
106,0.068184263
107,0.112702233
108,0.143491031
109,0.144882454
110,0.224718264
111,0.219605986
112,0.248804945
113,0.273275264
26,0.06117311
27,0.06284615
28,0.049256125
29,0.040276356
30,0.036511863
31,0.018953992
32,0.012664187
33,0.008357789
34,0.021261304
35,0.032904593
36,0.028637929
37,0.02717586
38,0.024814681
39,0.051351955
40,0.037839318
41,0.008242806
42,0.020044303
43,0.010083785
44,0.007576533
45,0.011786016
46,0.01270895
47,0.028052724
48,0.030666119
49,0.005626368
50,0.048371039
51,0.100204959
52,0.001675826
53,0.120129261
54,0.019395013
55,0.015011307
56,0.025560907
57,0.037352434
58,0.039312319
59,0.074028282
60,0.09188789
61,0.109411603
62,0.119485722
63,0.115508983
64,0.116191861
65,0.087010121
66,0.051853017
67,0.00813633
68,0.065367059
69,0.082153991
70,0.059671456
71,0.014309189
72,0.007553201
73,0.015994377
74,0.019376013
76,0.057952094
77,0.096582159
2,0.046036497
3,0.04202691
4,0.056755778
5,0.05776354
6,0.049292573
7,0.063862915
8,0.058082563
9,0.061910252
10,0.050002024
11,0.054570139
12,0.042587496
13,0.045792464
14,0.041516929
15,0.056534935
16,0.081507223
17,0.07428415
18,0.104976206
19,0.088204497
20,0.068377545
21,0.037733944
22,0.019956353
23,0.020706537
24,0.049264185
25,0.062258199
26,0.08179064
27,0.106543579
28,0.10911474
29,0.099107503
30,0.053253986
31,0.087906575
32,0.139351351
33,0.156982453
34,0.186731951
35,0.186377437
36,0.177246434
37,0.149258211
38,0.133138978
39,0.110587704
40,0.087674438
41,0.077421036
42,0.039133945
43,0.061476845
44,0.082772913
45,0.082001702
46,0.084955956
47,0.103511145
48,0.15524078
49,0.148801901
50,0.099134524
52,0.097133548
53,0.120194324
1,0.017693205
2,0.039556639
3,0.040607135
4,0.031608472
5,0.046685962
6,0.040238288
7,0.043856773
8,0.032319469
9,0.037261239
10,0.024585354
11,0.027925953
12,0.023288927
13,0.03917035
14,0.065072167
15,0.057867734
16,0.090135918
17,0.072553275
18,0.051794888
19,0.021209653
20,0.003672317
21,0.040673066
22,0.069865425
23,0.08267009
24,0.102258014
25,0.126826077
26,0.128347368
27,0.117226242
28,0.072904603
29,0.108409375
30,0.161021784
31,0.17881518
32,0.209484801
33,0.209349192
34,0.200234451
35,0.170981038
36,0.15382894
37,0.130227489
38,0.106127375
39,0.094390165
40,0.054319702
41,0.075932905
42,0.096220286
43,0.094202809
44,0.121703281
45,0.175641098
46,0.227808067
47,0.245592621
48,0.150424886
50,0.089416612
51,0.097981082
1,0.023962947
2,0.094820532
3,0.066907023
4,0.100193888
5,0.101290632
6,0.123797802
7,0.095724535
8,0.08463259
9,0.057184681
10,0.046918375
11,0.033036819
12,0.017312215
13,0.067765594
14,0.080091178
15,0.165287301
16,0.197697809
17,0.21293022
18,0.176151012
19,0.123124383
20,0.156591897
21,0.106682968
22,0.027290752
24,0.038288862
25,0.071643613
26,0.070029785
27,0.03077801
28,0.027322801
29,0.005808949
30,0.001808183
31,0.013667607
32,0.003975192
33,0.000339989
34,0.000964239
35,0.004227359
36,0.025228835
37,0.05239257
38,0.054595428
39,0.007642498
40,0.006875289
41,0.035475556
42,0.05757551
43,0.117357307
44,0.171163638
45,0.1654044
46,0.242167108
47,0.200341267
48,0.192150918
49,0.225150435
